Data,Regione,Prodotto,Segmento,Unità_Vendute,Prezzo_Unitario,Costo_Unitario,Spesa_Marketing,Contatti_Marketing
2023-09-16,Ovest,Prodotto C,Mid-Market,38,197.63,153.3,3786.08,580
2024-05-20,Centro,Prodotto A,Mid-Market,95,205.82,222.69,3434.93,689
2024-05-16,Ovest,Prodotto A,Enterprise,21,455.42,158.15,4374.58,220
2024-02-03,Sud,Prodotto D,Enterprise,86,422.7,137.28,1734.52,751
2024-02-09,Ovest,Prodotto A,Mid-Market,76,343.25,142.17,2432.68,840
2024-05-18,Est,Prodotto C,Small Business,67,99.99,56.52,1126.99,90
2023-08-18,Sud,Prodotto B,Small Business,55,367.79,83.23,1783.08,352
2023-08-06,Nord,Prodotto D,Mid-Market,29,480.37,60.57,3348.5,610
2024-01-23,Est,Prodotto A,Enterprise,8,244.84,207.17,3488.65,221
2024-01-03,Ovest,Prodotto A,Mid-Market,84,313.28,14.41,813.48,412
2024-02-18,Ovest,Prodotto B,Mid-Market,70,12.05,186.83,4149.26,10
2023-07-27,Est,Prodotto C,Small Business,99,227.1,97.44,3434.91,182
2024-03-20,Sud,Prodotto B,Mid-Market,62,397.24,139.61,2704.3,691
2024-04-29,Nord,Prodotto A,Enterprise,37,148.48,214.06,1011.82,752
2024-03-31,Nord,Prodotto C,Small Business,33,447.18,93.28,247.18,565
2024-11-18,Est,Prodotto B,Mid-Market,47,24.83,164.85,975.81,958
2024-11-10,Sud,Prodotto A,Small Business,26,334.14,10.84,3968.45,730
2023-10-26,Ovest,Prodotto B,Small Business,28,249.61,98.93,309.47,673
2023-02-14,Centro,Prodotto B,Enterprise,44,166.43,195.58,2768.22,828
2023-07-07,Nord,Prodotto B,Enterprise,86,147.21,210.27,186.63,505
2024-01-24,Sud,Prodotto C,Enterprise,1,368.01,232.35,4544.13,79
2024-10-18,Nord,Prodotto C,Enterprise,32,329.01,31.21,2126.66,428
2024-08-23,Ovest,Prodotto B,Small Business,76,300.17,224.28,2440.53,214
2024-01-14,Est,Prodotto D,Small Business,29,452.28,37.14,2311.68,188
2024-02-02,Centro,Prodotto D,Enterprise,30,380.81,244.47,4308.69,815
2023-06-30,Ovest,Prodotto D,Mid-Market,69,245.89,214,2892.67,15
2023-08-17,Nord,Prodotto D,Mid-Market,1,207.71,202.48,967.02,558
2024-10-03,Sud,Prodotto B,Mid-Market,63,139.74,213.09,3171.48,100
2023-01-17,Sud,Prodotto B,Small Business,96,151.28,129.4,1129.73,124
2023-08-16,Est,Prodotto B,Small Business,50,226.93,24.1,2333.88,567
2023-01-14,Nord,Prodotto B,Mid-Market,7,155.89,66.37,4774.95,341
2023-03-24,Est,Prodotto A,Small Business,24,35.51,172.67,4483.57,596
2024-04-27,Centro,Prodotto C,Mid-Market,18,386.72,131.32,4128.38,500
2024-11-05,Sud,Prodotto C,Small Business,53,236.75,76.63,3851.09,495
2024-05-31,Est,Prodotto D,Enterprise,77,68.98,79.38,4156.78,138
2024-05-29,Est,Prodotto A,Small Business,29,296.47,104.17,419.68,293
2023-05-03,Nord,Prodotto C,Mid-Market,6,157.39,17.89,414.18,764
2023-03-03,Ovest,Prodotto C,Mid-Market,96,432.33,7.03,2930.32,997
2024-03-31,Sud,Prodotto C,Mid-Market,92,146.75,86.9,3862.45,716
2023-05-08,Est,Prodotto C,Enterprise,50,196.73,197.02,1373.4,475
2024-11-10,Sud,Prodotto B,Mid-Market,89,110.22,155.52,4911.32,383
2024-06-12,Nord,Prodotto B,Enterprise,73,33.37,127.2,3672.34,923
2024-01-28,Est,Prodotto A,Mid-Market,99,393.92,117.94,2227.2,820
2023-04-10,Est,Prodotto C,Enterprise,62,98.26,85.9,3806.93,981
2023-05-16,Est,Prodotto D,Enterprise,36,89.39,221.52,3679.08,962
2023-12-20,Nord,Prodotto D,Mid-Market,79,105.34,43.56,3099.95,514
2024-02-13,Ovest,Prodotto A,Enterprise,2,321.29,165.22,4221.44,880
2024-04-15,Ovest,Prodotto A,Mid-Market,56,410.43,152.46,1112.85,118
2023-10-24,Est,Prodotto C,Small Business,4,356.15,209.53,258.69,108
2023-01-29,Centro,Prodotto A,Small Business,64,466,127.31,3987.52,168
2024-06-22,Est,Prodotto D,Mid-Market,57,374.14,26.52,3336.69,530
2024-08-27,Nord,Prodotto D,Small Business,63,450.18,78.5,3840.35,317
2024-08-19,Ovest,Prodotto A,Mid-Market,94,277.31,233.93,2204.23,519
2023-03-11,Centro,Prodotto C,Enterprise,69,456.22,70.1,2542.2,757
2024-10-31,Nord,Prodotto A,Mid-Market,97,342.84,230.89,4545.46,687
2024-09-16,Est,Prodotto A,Mid-Market,48,30.23,18.9,2277.24,531
2023-06-13,Nord,Prodotto C,Mid-Market,74,62.73,73.07,2594.73,814
2024-05-26,Sud,Prodotto C,Mid-Market,59,218.58,9.79,556.23,938
2023-10-09,Ovest,Prodotto B,Mid-Market,57,331.18,25.3,1903.25,516
2024-03-03,Sud,Prodotto C,Mid-Market,85,70.54,95.89,2939.95,928
2024-07-11,Sud,Prodotto B,Small Business,65,124.19,248.24,4840.85,961
2024-04-16,Est,Prodotto C,Mid-Market,13,306.5,240.26,4710.03,355
2024-05-21,Est,Prodotto A,Mid-Market,79,180.17,102.95,155.57,525
2024-11-16,Centro,Prodotto D,Enterprise,41,372.98,241.71,4657.8,388
2024-08-04,Nord,Prodotto D,Mid-Market,23,290.36,66.98,817.99,99
2023-02-23,Sud,Prodotto B,Small Business,31,316.51,92.69,628.62,651
2024-01-18,Est,Prodotto B,Small Business,4,353.89,52.8,4090.75,338
2023-09-06,Ovest,Prodotto D,Enterprise,77,376,114.09,2131.41,871
2023-12-03,Centro,Prodotto D,Small Business,82,145.66,178.7,1977.45,181
2024-01-20,Nord,Prodotto A,Small Business,26,254.84,118.89,317.13,680
2023-08-01,Nord,Prodotto C,Mid-Market,6,209.91,240.16,294.13,757
2023-08-01,Sud,Prodotto B,Enterprise,85,291.31,123.58,2958.84,921
2023-01-08,Ovest,Prodotto A,Mid-Market,44,284.6,60.48,949.55,107
2024-01-17,Nord,Prodotto A,Small Business,91,485.93,224.64,1639.37,948
2023-01-01,Centro,Prodotto C,Small Business,3,498.6,141.91,2574.73,958
2024-07-23,Ovest,Prodotto B,Small Business,92,199.46,38.6,1153.03,820
2023-12-27,Sud,Prodotto B,Enterprise,40,494.27,64.42,4254.39,622
2023-05-26,Nord,Prodotto D,Small Business,1,453.88,103.7,4271.35,792
2023-08-15,Ovest,Prodotto C,Enterprise,99,142.21,111.29,345.11,826
2023-12-02,Est,Prodotto B,Mid-Market,81,472.73,80.51,2671.61,556
2024-09-13,Centro,Prodotto B,Small Business,12,299.82,185.71,3704.3,506
2023-07-01,Ovest,Prodotto C,Enterprise,67,372.41,157.06,2006.96,528
2023-01-14,Nord,Prodotto A,Enterprise,69,322.6,12.04,3647.62,517
2024-06-29,Est,Prodotto D,Small Business,74,167.92,31.15,3803.98,390
2024-02-02,Sud,Prodotto A,Mid-Market,96,466.09,83.33,4754.94,944
2023-09-19,Est,Prodotto B,Mid-Market,5,346.81,174.71,859.9,821
2023-12-06,Nord,Prodotto D,Enterprise,94,463.41,207.48,1320.82,730
2023-07-30,Sud,Prodotto D,Small Business,75,170.18,80.08,1594.55,825
2024-02-26,Sud,Prodotto A,Small Business,23,246.48,61.1,4532.35,478
2024-10-08,Est,Prodotto B,Small Business,13,234.61,72.52,1811.23,855
2024-02-15,Ovest,Prodotto D,Enterprise,46,291.15,10.46,1159.04,905
2023-04-27,Centro,Prodotto C,Enterprise,56,363.66,132.41,644.94,355
2023-11-27,Ovest,Prodotto A,Small Business,5,110.6,232.55,4431.76,933
2023-04-08,Centro,Prodotto C,Enterprise,29,467.47,49.63,3551.13,298
2023-09-13,Ovest,Prodotto B,Enterprise,24,376.1,164.55,3867.09,984
2023-10-15,Sud,Prodotto C,Enterprise,36,285.51,46.25,251.73,247
2023-03-07,Ovest,Prodotto D,Enterprise,51,420.67,44.71,1817.4,606
2023-02-02,Ovest,Prodotto D,Mid-Market,42,458.97,196.61,3919.44,824
2023-04-20,Sud,Prodotto C,Small Business,57,199.51,119.15,241.59,476
2023-01-19,Nord,Prodotto D,Enterprise,22,434.86,208.22,2448.59,376
2024-01-06,Centro,Prodotto C,Small Business,84,110.27,128.97,4040.5,780
2024-03-12,Ovest,Prodotto D,Small Business,65,124.15,66.21,380,656
2023-02-17,Sud,Prodotto D,Small Business,68,128.54,183.67,1068.56,553
2023-10-02,Nord,Prodotto D,Mid-Market,57,491.35,18.4,2480.66,11
2023-12-10,Est,Prodotto D,Mid-Market,17,176.11,163.96,4823.53,276
2023-06-26,Nord,Prodotto A,Small Business,91,175.55,109.84,2377.72,403
2023-12-05,Ovest,Prodotto C,Mid-Market,21,496.98,185.29,3629.6,581
2024-05-06,Nord,Prodotto D,Enterprise,1,277.72,154.36,2937.24,617
2024-01-31,Centro,Prodotto B,Small Business,55,398.73,63.15,2088.9,531
2023-10-25,Nord,Prodotto C,Small Business,14,391.97,113.1,4761.84,884
2024-10-08,Centro,Prodotto B,Enterprise,1,189.22,249.91,1643.62,860
2024-02-26,Ovest,Prodotto A,Enterprise,19,90.12,120.65,805.61,659
2023-09-10,Ovest,Prodotto C,Mid-Market,96,320.63,52.14,4578.13,852
2024-06-17,Centro,Prodotto D,Enterprise,54,204.93,40,930.52,989
2024-11-15,Ovest,Prodotto B,Small Business,64,486.42,89.06,3422.7,956
2024-11-08,Ovest,Prodotto D,Enterprise,34,110.14,110.33,272.4,684
2024-02-21,Sud,Prodotto C,Small Business,30,411.99,93.67,4759.85,505
2023-05-28,Centro,Prodotto B,Mid-Market,47,425,40.14,936.49,786
2023-01-17,Nord,Prodotto D,Enterprise,62,442.35,178.57,640.53,175
2023-07-07,Est,Prodotto B,Enterprise,36,227.33,88.27,1389.78,703
2023-11-30,Ovest,Prodotto B,Enterprise,65,369.05,131.28,1343.31,23
2024-01-08,Nord,Prodotto A,Mid-Market,22,228.04,36.57,3572.78,541
2023-04-11,Est,Prodotto A,Mid-Market,90,151.28,12.22,2156.81,38
2024-02-28,Est,Prodotto D,Enterprise,3,116.73,205.68,1340.03,240
2024-08-16,Nord,Prodotto A,Small Business,82,464.63,196.54,3629.81,24
2023-05-04,Nord,Prodotto C,Mid-Market,27,111.14,199.87,4459.77,453
2023-12-17,Nord,Prodotto D,Mid-Market,68,130.69,77.24,4228.54,357
2024-03-08,Est,Prodotto D,Enterprise,74,183.51,221.68,2851.62,706
2023-10-03,Nord,Prodotto B,Mid-Market,58,216.66,101.34,2398.56,837
2024-04-25,Sud,Prodotto A,Enterprise,75,439.84,198.42,2030.08,891
2023-07-11,Ovest,Prodotto C,Small Business,33,197.97,113.56,173.56,268
2024-09-05,Ovest,Prodotto C,Small Business,52,335.35,133.44,4224.16,415
2023-02-16,Ovest,Prodotto C,Enterprise,39,465.22,30.2,1179.11,252
2024-07-06,Centro,Prodotto A,Small Business,44,431.1,103.25,3976.67,665
2023-08-05,Nord,Prodotto A,Enterprise,80,462.15,246.79,1780.27,509
2023-01-30,Ovest,Prodotto A,Enterprise,90,42.95,126.84,3443.25,544
2024-05-21,Ovest,Prodotto A,Small Business,7,350.09,33.65,2039.15,561
2023-12-01,Est,Prodotto C,Mid-Market,49,359.49,196.54,4463.12,97
2023-05-30,Sud,Prodotto C,Small Business,72,405.96,158.52,1481.73,368
2024-07-17,Centro,Prodotto C,Enterprise,42,56.09,217.64,3820.58,605
2024-09-25,Centro,Prodotto B,Mid-Market,97,466.01,196.7,2646.72,413
2023-02-19,Est,Prodotto C,Small Business,40,407.19,68.06,1155.99,699
2024-02-12,Ovest,Prodotto B,Small Business,7,366.7,184.83,1406.71,56
2023-09-10,Centro,Prodotto B,Mid-Market,9,342.09,161.73,1334.09,295
2023-09-23,Nord,Prodotto C,Small Business,66,325.02,106.63,4450.96,589
2023-06-01,Sud,Prodotto B,Mid-Market,50,298.06,206.04,879.86,135
2024-10-09,Est,Prodotto B,Small Business,51,282.27,103.54,1339.55,580
2024-04-15,Ovest,Prodotto B,Mid-Market,12,235.1,233.3,1724.31,523
2023-05-09,Sud,Prodotto B,Small Business,55,425.2,166.92,2318.03,804
2024-07-30,Est,Prodotto A,Small Business,92,223.78,136.47,4560.74,677
2024-10-12,Centro,Prodotto A,Mid-Market,71,255.83,80.24,2874.04,720
2023-05-11,Est,Prodotto B,Small Business,73,298.25,24.83,1093,199
2023-10-18,Sud,Prodotto A,Small Business,42,275.33,56.18,4877.78,29
2023-01-07,Ovest,Prodotto A,Mid-Market,85,296.47,155.68,3909.46,592
2023-03-12,Centro,Prodotto C,Small Business,35,54.86,127.59,829.94,604
2023-02-01,Centro,Prodotto A,Small Business,92,228.55,22.65,3985.63,23
2024-08-28,Est,Prodotto C,Enterprise,53,102.23,109.9,1948.8,999
2023-07-31,Centro,Prodotto D,Mid-Market,53,98.58,223.91,1374.13,893
2024-04-18,Est,Prodotto D,Mid-Market,74,240.38,249.85,2379.1,854
2024-03-22,Nord,Prodotto D,Small Business,43,427.48,164.18,4268.9,190
2023-11-04,Nord,Prodotto D,Mid-Market,21,43.59,151.67,2680.01,416
2023-07-01,Centro,Prodotto C,Small Business,47,135.01,169.87,2815.48,587
2023-10-10,Ovest,Prodotto C,Mid-Market,70,451.08,59.03,4149.37,898
2023-02-28,Ovest,Prodotto A,Enterprise,75,349.72,26.44,1938.59,865
2024-04-16,Sud,Prodotto A,Enterprise,83,355.31,205.24,2777.73,742
2024-06-12,Sud,Prodotto B,Mid-Market,39,345.92,76.37,1831.58,845
2024-04-25,Est,Prodotto C,Mid-Market,73,499.09,187.62,188.17,509
2024-02-29,Centro,Prodotto D,Mid-Market,66,488.39,40.22,2169.6,505
2023-11-27,Ovest,Prodotto D,Mid-Market,42,150.26,126.59,2367.97,480
2023-12-15,Ovest,Prodotto A,Small Business,27,486.8,45.43,1526.61,456
2024-06-06,Sud,Prodotto A,Small Business,33,188.82,236.08,800.46,236
2024-02-01,Sud,Prodotto A,Mid-Market,57,439.05,127.95,750.79,824
2024-08-13,Ovest,Prodotto A,Small Business,33,374.37,27.59,2144.62,408
2023-12-10,Nord,Prodotto D,Enterprise,52,58.93,162.12,4619.07,720
2024-02-10,Est,Prodotto C,Mid-Market,44,179.37,176.78,923.55,958
2023-03-18,Centro,Prodotto A,Enterprise,16,476.57,72.05,3038.37,621
2023-10-07,Centro,Prodotto A,Enterprise,81,133.51,19.82,1260.64,930
2024-07-26,Ovest,Prodotto D,Small Business,30,54.12,20.35,2493.04,260
2024-01-16,Nord,Prodotto A,Mid-Market,10,65.76,211,3827.23,969
2023-11-11,Est,Prodotto D,Small Business,16,385.24,246.48,610.71,252
2024-03-07,Nord,Prodotto D,Enterprise,76,433.37,199.7,707.87,190
2023-03-23,Est,Prodotto C,Mid-Market,97,377.33,61.52,4600.26,101
2023-11-03,Ovest,Prodotto C,Small Business,68,424.68,201.29,877.94,536
2023-12-09,Nord,Prodotto D,Small Business,88,187.05,51.99,4641.3,91
2024-06-11,Est,Prodotto D,Enterprise,82,231.91,61.93,3611.99,757
2023-06-07,Ovest,Prodotto B,Mid-Market,18,198.29,59.7,913.05,668
2023-02-25,Sud,Prodotto D,Mid-Market,19,117.91,34.55,4451.53,27
2024-07-07,Sud,Prodotto C,Mid-Market,15,289.94,11.14,3256.76,482
2023-11-14,Centro,Prodotto A,Small Business,79,409.73,246.24,2430.45,151
2023-02-07,Sud,Prodotto A,Small Business,76,378.14,14.83,4872.23,823
2023-07-08,Est,Prodotto A,Small Business,17,44.94,37.85,2177.01,991
2024-02-26,Sud,Prodotto C,Small Business,73,44.86,26.19,4317.65,697
2023-03-04,Sud,Prodotto A,Enterprise,88,232.83,43.42,3084.12,778
2023-10-30,Est,Prodotto D,Mid-Market,30,189.39,182.5,381.2,486
2024-07-13,Sud,Prodotto A,Small Business,16,145.49,46.15,1063.49,125
2023-08-10,Nord,Prodotto D,Small Business,75,415.26,199.32,3192.99,822
2023-04-21,Sud,Prodotto D,Enterprise,21,65.87,66.02,3691.71,58
2023-11-29,Sud,Prodotto A,Small Business,42,435.21,97.64,1975.32,876
2024-04-27,Ovest,Prodotto B,Enterprise,37,156.84,26.76,3600.51,243
2024-09-22,Sud,Prodotto D,Enterprise,68,54.95,168.87,1861.73,812
2024-09-20,Nord,Prodotto C,Mid-Market,81,385.73,90.48,4467.52,416
2023-08-16,Nord,Prodotto A,Mid-Market,79,138.64,104.69,3328.49,875
2024-04-24,Est,Prodotto C,Enterprise,3,72.37,150.31,3047.98,265
2024-10-17,Sud,Prodotto C,Small Business,75,175.67,148.46,4437.6,645
2024-02-24,Ovest,Prodotto C,Enterprise,85,447.76,125.19,711.76,625
2024-04-11,Est,Prodotto C,Small Business,59,131.85,140.01,4993.07,482
2024-01-05,Ovest,Prodotto C,Small Business,35,460.04,76.83,1220.38,895
2024-02-25,Sud,Prodotto B,Enterprise,91,90.87,151.75,3589.38,891
2024-02-18,Sud,Prodotto C,Mid-Market,20,350.73,63.9,2652.38,233
2023-01-12,Nord,Prodotto C,Small Business,11,314,30.55,537.73,464
2024-04-07,Est,Prodotto B,Small Business,20,119.25,59.26,3127.78,419
2024-09-08,Nord,Prodotto C,Small Business,80,39.44,12.83,1212.68,430
2023-10-04,Ovest,Prodotto A,Small Business,54,483.09,111.38,2091.03,184
2024-04-13,Nord,Prodotto D,Mid-Market,72,251.16,224.9,1512.44,922
2024-09-20,Nord,Prodotto A,Small Business,96,454.16,188.67,981.21,863
2023-10-29,Nord,Prodotto C,Mid-Market,31,72.04,216.21,2568.06,719
2023-02-17,Centro,Prodotto A,Enterprise,41,226.36,195.55,3891.08,939
2023-04-15,Ovest,Prodotto A,Enterprise,35,98.14,5.12,1296.28,602
2023-12-20,Nord,Prodotto C,Enterprise,15,56.11,63.4,3374.45,616
2023-04-29,Est,Prodotto C,Enterprise,98,275.77,136.6,1543.03,185
2024-05-24,Sud,Prodotto A,Small Business,2,60.07,248.5,690.19,842
2023-03-22,Est,Prodotto A,Enterprise,14,277.5,174.35,2856.49,263
2024-08-24,Est,Prodotto B,Enterprise,67,391.58,231.03,4582.57,467
2023-06-23,Est,Prodotto A,Mid-Market,80,179.92,249.55,3479.68,534
2024-09-26,Ovest,Prodotto B,Enterprise,57,79.8,244.85,713.67,304
2023-07-30,Nord,Prodotto A,Mid-Market,1,158.65,112.08,3596.89,280
